id,venue_name,location,owner_url,city_name,phone_number,club_website,google_map,ra_followers,capacity,owner (source of truth),"most_listed_artists {name: string, url: string}","ra_venue_description (allow null, if not null { text: string, external link: {text: string, url: string}",venue_latitude,venue_longitude
17322,20 Kensington,20 Kensington Church Street; Kensington; London W8 4EP; United Kingdom,https://ra.co/clubs/10227,,,,,,,,,,,
17323,20 Leake Street,"20 Leake Street, London",https://ra.co/clubs/202014,,,,,,,,,,,
17324,21 Covent Garden,21 Covent Garden Westminster London WC2E,https://ra.co/clubs/75272,,,,,,,,,,,
17325,229 The Venue,"229 Great Portland Street, Fitzrovia, London, W1W 5PN",https://ra.co/clubs/9305,,,,,,,,,,,
17326,22Below,22 Great Marlborough Street; Soho; London W1F 7HU; United Kingdom,https://ra.co/clubs/2937,,,,,,,,,,,
17327,25 Canonbury Lane,"25 Canonbury Lane, Islington, N1 2AS",https://ra.co/clubs/14680,,,,,,,,,,,
17328,26 Leake Street,"26 Leake St, South Bank, London SE1 7NN",https://ra.co/clubs/153428,,,,,,,,,,,
17329,267 Kingsland Road,"267 Kingsland Road London, E2 8AD",https://ra.co/clubs/76552,,,,,,,,,,,
17330,28 West Bar,"28 Westferry Circus, E14 8RR, London",https://ra.co/clubs/121979,,,,,,,,,,,
17331,289,"Railway Arches, 289 The, Cambridge Heath Rd, London E2 9HA",https://ra.co/clubs/176112,,,,,,,,,,,
17332,2932 East,"29-32 The Oval London E2 9DY, United Kingdom",https://ra.co/clubs/62484,,,,,,,,,,,
17333,2AD,"2 Crutched Friars, London, EC3N 2HT",https://ra.co/clubs/38386,,,,,,,,,,,
17334,3 Blind Mice,5 Ravey Street; Shoreditch; London EC2 4WQ; United Kingdom,https://ra.co/clubs/5990,,,,,,,,,,,
17335,The 3 Monkeys,"5 Fernlea Road, London SW12 9RTA, UK",https://ra.co/clubs/103663,,,,,,,,,,,
17336,333 Club / Mother Bar,"333 Old Street, Hoxton, London, EC1V 9LE, United Kingdom",https://ra.co/clubs/973,,,,,,,,,,,
17337,338 Boord Street,338 Boord Street; Greenwich; London SE10 0PF; United Kingdom,https://ra.co/clubs/9287,,,,,,,,,,,
17338,34 Croydon,"34 Surrey St, Croydon CR0 1RJ, United Kingdom",https://ra.co/clubs/137862,,,,,,,,,,,
17339,37 Jewry,"37 Jewry Street, London EC3N 2ER",https://ra.co/clubs/124705,,,,,,,,,,,
17340,3rd Space Bar And Lounge,"211 Clapham Rd London SW9 0QH, UK",https://ra.co/clubs/46492,,,,,,,,,,,
17341,40 Foot Brewery,"Bootyard, Abbott Street E8 3DP London, United Kingdom",https://ra.co/clubs/148618,,,,,,,,,,,
17342,411 Bar & Lounge,"40 Battersea Rise, SW11 1ER, London",https://ra.co/clubs/154656,,,,,,,,,,,
17343,43 South Molton,43 South Molton Street; Mayfair; London W1K 5RS; United Kingdom,https://ra.co/clubs/4322,,,,,,,,,,,
17344,46 & Mercy,"46 Commercial Street, London, E1 6LT, UK",https://ra.co/clubs/160437,,,,,,,,,,,
17345,491 Gallery,"491 Grove Green Road, Leytonstone",https://ra.co/clubs/28414,,,,,,,,,,,
17346,4th Floor West,"255 - 259 Commercial Road, London, E1 2BT",https://ra.co/clubs/45176,,,,,,,,,,,
17347,5 Cavendish Square,5 Cavendish Square; Marylebone; London W1G 0PG; United Kingdom,https://ra.co/clubs/15557,,,,,,,,,,,
17348,512 London,512 Kingsland Road; Dalston; London E8 4AE; United Kingdom,https://ra.co/clubs/11563,,,,,,,,,,,
17349,54 Mile End,438 Mile End Road; Bow; London E1 4PE; United Kingdom,https://ra.co/clubs/9077,,,,,,,,,,,
17350,55 Club,"55 New Oxford Street, London, WC1A 1BS",https://ra.co/clubs/59595,,,,,,,,,,,
17351,55 East,"53-63 East St, Walworth, London SE17 2DJ, United Kingdom",https://ra.co/clubs/176274,,,,,,,,,,,
17352,55-57 Great Marlborough St,"55-57 Great Marlborough St, Soho, London W1F 7JX",https://ra.co/clubs/175324,,,,,,,,,,,
17353,588 Club,"588a Kingsland Road, London, E8 4AH, United Kingdom",https://ra.co/clubs/158935,,,,,,,,,,,
17354,5CC London,"26 Farringdon Street, EC4A 4AB, United Kingdom",https://ra.co/clubs/112927,,,,,,,,,,,
17355,5ifty 4our,54 Farringdon Road; Clerkenwell; London EC1R 3BL; United Kingdom,https://ra.co/clubs/19415,,,,,,,,,,,
17356,60 Dock Road,"60 Dock Road, London, E16 1YZ",https://ra.co/clubs/198121,,,,,,,,,,,
17357,640east,"Railway Arches 159-161, Malcolm Place, Bethnal Green, London, E2 0EU, United Kingdom",https://ra.co/clubs/172062,,,,,,,,,,,
17358,64th & Social,"64 Clapham High Street, Clapham, London, SW4 7UL",https://ra.co/clubs/51952,,,,,,,,,,,
17359,6ft Anda,42-44 Kingsland Road; Shoreditch; London E2 8DA; United Kingdom,https://ra.co/clubs/3714,,,,,,,,,,,
17360,71 Shacklewell Lane,71 Shacklewell Lane; Dalston; London E8 2EB; United Kingdom,https://ra.co/clubs/15398,,,,,,,,,,,
17361,8 Club,1 Dysart Street; Moorgate; London EC2A 2BX; United Kingdom,https://ra.co/clubs/27382,,,,,,,,,,,
17362,8 Northumberland,"8 Northumberland Avenue, WC2N 5BY",https://ra.co/clubs/54524,,,,,,,,,,,
17363,86,"86 Fulham Road, London, SW3 6HR",https://ra.co/clubs/50323,,,,,,,,,,,
17364,88 Degrees,"88 High St, Croydon CR0 1NA",https://ra.co/clubs/103565,,,,,,,,,,,
17365,93 Feet East,"The Old Truman Brewery, 150 Brick Lane; Shoreditch; London E1 6RU; United Kingdom",https://ra.co/clubs/734,,,,,,,,,,,
17366,A Bar 2 Far,"40 Mitcham Rd, Tooting Broadway, SW17 9NA",https://ra.co/clubs/14691,,,,,,,,,,,
17367,The A Lounge,66 Trafalgar Square; Westminster; London WC2N 5DS; United Kingdom,https://ra.co/clubs/25130,,,,,,,,,,,
17368,A Portuguese Love Affair Deli Café,"326 Hackney Road, London, E2 7AX",https://ra.co/clubs/136517,,,,,,,,,,,
17369,"A Wing, Lancaster","Lancaster Castle, Castle Park; Lancaster LA1 1YJ",https://ra.co/clubs/100545,,,,,,,,,,,
17370,A10,267 Kingsland Road; Hoxton; London E2 8AS; United Kingdom,https://ra.co/clubs/5050,,,,,,,,,,,
17371,A12 Lab,41 Smeed Road  London  E3 2NR,https://ra.co/clubs/191349,,,,,,,,,,,
17372,AAA,"11-13 Kensington High Street, W8 5NP",https://ra.co/clubs/38879,,,,,,,,,,,
17373,Aaja Deptford,"30 Deptford Church Street, SE8 4RZ",https://ra.co/clubs/158538,,,,,,,,,,,
17374,Abacus,24 Cornhill; The City; London EC3V 3ND; United Kingdom,https://ra.co/clubs/4551,,,,,,,,,,,
17375,The Abbey,"30-33 The Minories, London, EC3N 1DD",https://ra.co/clubs/21192,,,,,,,,,,,
17376,The Abbey Tavern,"124 Kentish Town Road, London, NW1 9QB",https://ra.co/clubs/25944,,,,,,,,,,,
17377,Abbot Street Car Park,"Dalston, E8 3DL",https://ra.co/clubs/85037,,,,,,,,,,,
17378,Abbot Street Studios,"Fitzroy House, 3 Abbot Street, London, E8 3DP",https://ra.co/clubs/81182,,,,,,,,,,,
17379,The Academy Brunel,"Union Of Brunel Students, Cleveland Road, Uxbridge, Middlesex, UB8 3PH",https://ra.co/clubs/150823,,,,,,,,,,,
17380,Ace Hotel,"100 Shoreditch High Street, Shoreditch, London",https://ra.co/clubs/85510,,,,,,,,,,,
17381,Ace Lounge,"199 Lewisham Way, London, England, SE4 1UY",https://ra.co/clubs/195800,,,,,,,,,,,
17382,Aces Bar,"88 Verdant Lane, London, SE6 1LF",https://ra.co/clubs/82567,,,,,,,,,,,
17383,Acklam Village,"4-8 Acklam Rd, W10 5TY",https://ra.co/clubs/107372,,,,,,,,,,,
17384,Acqua7,"7 Balls Pond Road, London, N1 4AX, UK",https://ra.co/clubs/152201,,,,,,,,,,,
17385,"The ACT, Kingston College","Kingston Hall Road, Kingston upon Thames, KT1 2AQ",https://ra.co/clubs/151884,,,,,,,,,,,
17386,Ada-Hao Social,"22 Ashwin St, Dalston",https://ra.co/clubs/12379,,,,,,,,,,,
17387,Adam Street Private Members Club,"9 Adam Street, London, WC2N 6AA",https://ra.co/clubs/29119,,,,,,,,,,,
17388,Addictive Bar,28 Park Royal Road London NW10 7JW,https://ra.co/clubs/123915,,,,,,,,,,,
17389,The Advisory,"161 Mare Street, Hackney, United Kingdom",https://ra.co/clubs/128672,,,,,,,,,,,
17390,Affinity Bar,"247 Broadway, Bexleyheath, DA6  8DB",https://ra.co/clubs/71013,,,,,,,,,,,
17391,The Africa Centre,"Arch 29, The Africa Centre, 66 Great Suffolk Street, London, SE1 0BL",https://ra.co/clubs/150001,,,,,,,,,,,
17392,Afrikiko Bar Restaurant & Club,"871 Old Kent Rd, SE15 1NX",https://ra.co/clubs/184569,,,,,,,,,,,
17393,Agenda Bar,3 Mincing Lane; Aldgate; London EC3R 7AA; United Kingdom,https://ra.co/clubs/5802,,,,,,,,,,,
17394,The Agincourt,"487 London Rd, Camberley, GU15 3JA",https://ra.co/clubs/132351,,,,,,,,,,,
17395,AIRspace Brixton,302-304 Barrington Road; Brixton; London SW9 7JJ; United Kingdom,https://ra.co/clubs/87844,,,,,,,,,,,
17396,AKA Bar,18 West Central Street; Covent Garden; London WC1A 1JJ; United Kingdom,https://ra.co/clubs/730,,,,,,,,,,,
17397,Al Mariyah Hall,"759 London Rd, Thornton Heath CR7 6AW",https://ra.co/clubs/150483,,,,,,,,,,,
17398,Albannach Bar & Restaurant,"66 Trafalgar Square, St. James's, London WC2N 5DS",https://ra.co/clubs/29127,,,,,,,,,,,
17399,The Albany,"240 Great Portland St; Fitzrovia; London W1W 5QU, United Kingdom",https://ra.co/clubs/1404,,,,,,,,,,,
17400,Albany - Deptford,Douglas Way; Deptford; London SE8 4AG; United Kingdom,https://ra.co/clubs/29751,,,,,,,,,,,
17401,Albert & Pearl,181 Upper Street; Islington; London N1 1RQ; United Kingdom,https://ra.co/clubs/14649,,,,,,,,,,,
17402,Albert's Club,"92b Old Brompton Rd, Kensington, London SW7 3LQ, UK",https://ra.co/clubs/131109,,,,,,,,,,,
17403,Alchemist Bar,"225 St John’s Hill, Battersea, London SW11 1TH",https://ra.co/clubs/21327,,,,,,,,,,,
17404,"The Alchemist, Bevis Marks","6 Bevis Marks, London EC3A 7BA, United Kingdom",https://ra.co/clubs/155388,,,,,,,,,,,
17459,Apres,"31 Duke St, London, W1U 1LG",https://ra.co/clubs/51649,,,,,,,,,,,
17405,Alchemy Bar,"28-30 Saint George's Walk, Croydon, CR0 1YJ",https://ra.co/clubs/132627,,,,,,,,,,,
17406,The Alexandra,"14 Clapham Common South Side, London SW4 7AA",https://ra.co/clubs/23206,,,,,,,,,,,
17407,Alexandra Palace,Alexandra Palace Way; Alexandra Palace; London N22 7AY; United Kingdom,https://ra.co/clubs/1585,,,,,,,,,,,
17408,Alhambra,"33-35 Commercial Road; Whitechapel; London E1 1LB, United Kingdom",https://ra.co/clubs/1464,,,,,,,,,,,
17409,Ali Baba Bar,"133 Copeland Road, Peckham, London, SE15 3SN",https://ra.co/clubs/106748,,,,,,,,,,,
17410,The Alibi,91 Kingsland High Street; Dalston; London E8 2PB; United Kingdom,https://ra.co/clubs/27608,,,,,,,,,,,
17411,Alibi Room,"9 Park Walk, Chelsea, London, United Kingdom",https://ra.co/clubs/22918,,,,,,,,,,,
17412,The Alice Bar,"133 Houndsditch London, United Kingdom EC3A 7BX",https://ra.co/clubs/144412,,,,,,,,,,,
17413,Alice House Queens Park,53-55 Salusbury Road Queen’s Park London NW6 6NJ,https://ra.co/clubs/72304,,,,,,,,,,,
17414,All Bar One - Moorgate,"127 Finsbury Pavement, London EC2A 1NS, UK",https://ra.co/clubs/128497,,,,,,,,,,,
17415,All Bar One Houndsditch,"106-107 Houndsditch London EC3A 7BD, United Kingdom",https://ra.co/clubs/191826,,,,,,,,,,,
17416,All My Friends,"Unit 1, Hamlet Estate, 96 White Post Ln, London E9 5EN",https://ra.co/clubs/207237,,,,,,,,,,,
17417,All Nations Bar,"81 Broad Lane, N15 4DW, Tottenham, London, United Kingdom",https://ra.co/clubs/166071,,,,,,,,,,,
17418,All Star Lanes,"Ariel Way, London W12 7FU",https://ra.co/clubs/187798,,,,,,,,,,,
17419,All Star Lanes,95 Brick Lane; Shoreditch; London E1 6QL; United Kingdom,https://ra.co/clubs/19212,,,,,,,,,,,
17420,Alleycat,"4 Denmark Street, London WC2H 8LP",https://ra.co/clubs/45453,,,,,,,,,,,
17421,Alliance House,"44-45 Newington Green, London N16 9QH",https://ra.co/clubs/107870,,,,,,,,,,,
17422,Alma,"95 Church Road, London SE19 2TA",https://ra.co/clubs/9467,,,,,,,,,,,
17423,The Alma,"59 Newington Green Rd, London, N1 4QU",https://ra.co/clubs/79144,,,,,,,,,,,
17424,Alnwick Castle,"Alnwick, Northumberland, NE66 1NQ",https://ra.co/clubs/134193,,,,,,,,,,,
17425,Alomo Bar,"43 Tulse Hill, London, SW2 2TJ",https://ra.co/clubs/147270,,,,,,,,,,,
17426,Alphabet,"56 Upper St, London",https://ra.co/clubs/157830,,,,,,,,,,,
17427,Alter Ega Bar,"191 Balham High Road, Balham, London SW17",https://ra.co/clubs/22831,,,,,,,,,,,
17428,Altitude 360,"29th Floor, Millbank Tower, 21-24 Millbank, London SW1P 4QP",https://ra.co/clubs/43483,,,,,,,,,,,
17429,Ama-Gi,"48 High Street, Town Centre, Kingston Upon Thames",https://ra.co/clubs/20456,,,,,,,,,,,
17430,Amber,"City Point, 1 Ropemaker Street, London EC2 9AW, United Kingdom",https://ra.co/clubs/71971,,,,,,,,,,,
17431,Amber Bar Soho,6 Poland Street; Soho; London W1F 8PS; United Kingdom,https://ra.co/clubs/6153,,,,,,,,,,,
17432,Ambika P3,"University of Westminster, 35 Marylebone Road, London, NW1 5LS",https://ra.co/clubs/21677,,,,,,,,,,,
17433,Amersham Arms,388 New Cross Road; New Cross; London SE14 6TY; United Kingdom,https://ra.co/clubs/7783,,,,,,,,,,,
17434,Amika,65 High Street Kensington; Kensington; London W8 5ED; United Kingdom,https://ra.co/clubs/22310,,,,,,,,,,,
17435,Amika Mayfair,"43 South Molton Street, Mayfair, W1K 5RS London",https://ra.co/clubs/82807,,,,,,,,,,,
17436,AMP Studios,"Arches 68-71, next to 899 Old Kent Rd, Old Kent Rd, London, SE15 1NL",https://ra.co/clubs/154276,,,,,,,,,,,
17437,Anam Bar,3 Chapel Market; Islington; London N1 9EZ; United Kingdom,https://ra.co/clubs/6169,,,,,,,,,,,
17438,Anam Bar,3 Chapel Market; Islington; London N1 9EZ; United Kingdom,https://ra.co/clubs/4640,,,,,,,,,,,
17439,Anatolia Bar,253 Mare Street; London Fields; London E8 3NS; United Kingdom,https://ra.co/clubs/22700,,,,,,,,,,,
17440,Anaya,9 Swallow Street; Mayfair; London W1B 4DE; United Kingdom,https://ra.co/clubs/38028,,,,,,,,,,,
17441,Anda de Bridge,42-44 Kingsland Road; Shoreditch; London E2 8DA; United Kingdom,https://ra.co/clubs/3524,,,,,,,,,,,
17442,Andi’s Wadadli Kitchen,"Unit 1, Hamlet Estate, 96 Whitepost Lane, London E95EN",https://ra.co/clubs/195348,,,,,,,,,,,
17443,Anerley Town Hall,"135 Anerley Road, London, SE20 8BD",https://ra.co/clubs/130001,,,,,,,,,,,
17444,Anexo,63b Clerkenwell Road; Farringdon; London  EC1M 5PT; United Kingdom,https://ra.co/clubs/2096,,,,,,,,,,,
17445,The Angerstein,"108 Woolwich Road, London, SE10 0LE",https://ra.co/clubs/193053,,,,,,,,,,,
17446,Anise,"9 Devonshire Square, London EC2M 4YL, United Kingdom",https://ra.co/clubs/98383,,,,,,,,,,,
17447,The Annexe,9 Brighton Terrace; Brixton; London SW9 8DJ; United Kingdom,https://ra.co/clubs/4415,,,,,,,,,,,
17448,Annie's Bar,180 Kentish Town Road London; NW5 2AE,https://ra.co/clubs/21551,,,,,,,,,,,
17449,The Antelope,"76 Mitcham Rd, London SW17 9NG, UK",https://ra.co/clubs/100033,,,,,,,,,,,
17450,The Anthologist,"Gresham Street, London, EC2V 7BB, UK",https://ra.co/clubs/93540,,,,,,,,,,,
17451,Anthonys Bar,"54 Porchester Rd, London W2 6ET",https://ra.co/clubs/16406,,,,,,,,,,,
17452,Apartment 42,"Apartment 42 Fieldgate Street, London, E1 1ES",https://ra.co/clubs/41869,,,,,,,,,,,
17453,Apartment 58,"101 New Oxford Street, London. WC1A 1DB",https://ra.co/clubs/77498,,,,,,,,,,,
17454,Apatura,"14 South End, Croydon, CR0 1DL",https://ra.co/clubs/124888,,,,,,,,,,,
17455,The Apiary,"458 Hackney Rd, London, E2 9EG",https://ra.co/clubs/45783,,,,,,,,,,,
17456,Apple Store,"Apple Store 235 Regent Street London, W1B 2EL",https://ra.co/clubs/72776,,,,,,,,,,,
17457,Apples & Pears,26 Osborn Street; Brick Lane; London  E1 6TD; United Kingdom,https://ra.co/clubs/23889,,,,,,,,,,,
17458,Apps Court,"Apps Court Farm, Hurst Rd, Walton-on-Thames KT12 2EG",https://ra.co/clubs/193716,,,,,,,,,,,
17460,Apt Bar,10-15 Queen Victoria Street; EC4N 1TX,https://ra.co/clubs/45134,,,,,,,,,,,
17461,Aquarium,256 Old Street; Hoxton; London EC1V 9DD; United Kingdom,https://ra.co/clubs/674,,,,,,,,,,,
17462,Aquarium Wine Bar,"415A Wandsworth Road, SW8 2JP",https://ra.co/clubs/157775,,,,,,,,,,,
17463,Aquum Bar And Restaurant,68-70 Clapham High Street; Clapham Common; London SW4 7UL; United Kingdom,https://ra.co/clubs/18616,,,,,,,,,,,
17464,Aragon House,247 New Kings Road; Parsons Green SW6 4XG,https://ra.co/clubs/64128,,,,,,,,,,,
17465,Arbeit,"Unit 4, White Post Lane, Queens Yard",https://ra.co/clubs/81278,,,,,,,,,,,
17466,Arbor City,"12-20 Osborn Street, E16TE London, United Kingdom",https://ra.co/clubs/118110,,,,,,,,,,,
17467,Arboretum,"2A CHARING CROSS ROAD, WC2H 0HF",https://ra.co/clubs/177231,,,,,,,,,,,
17468,Arc,"66a Serbert Road, Forest Gate, London, E7 0NJ",https://ra.co/clubs/35376,,,,,,,,,,,
17469,Arcade East,"Arcade East 182 Mare Street E8 3RE, London, United Kingdom",https://ra.co/clubs/173497,,,,,,,,,,,
17470,Arcadia London Bridge,51-53 Southwark St; London Bridge; London SE1 1RU; United Kingdom,https://ra.co/clubs/1736,,,,,,,,,,,
17471,"Arcadia Loungebar, Bexleyheath","247 Broadway, DA6 8DB, Bexleyheath, Bexley, United Kingdom",https://ra.co/clubs/165334,,,,,,,,,,,
17472,Arcelormittal Orbit,"Queen Elizabeth Olympic Park, London E20 2ST",https://ra.co/clubs/102811,,,,,,,,,,,
17473,Arch 1,"Unit 1, West Ham Arches, Cranberry Lane, London E16 4BJ",https://ra.co/clubs/91634,,,,,,,,,,,
17474,Arch 269,269 Coldharbour Lane; Herne Hil; London SW9 8SE; United Kingdom,https://ra.co/clubs/6374,,,,,,,,,,,
17475,Arch 504,"504 Ridgway Road, Brixton, London, United Kingdom",https://ra.co/clubs/176762,,,,,,,,,,,
17476,Arch 555,"Valentia Place, Brixton, London SW9 8PS",https://ra.co/clubs/111550,,,,,,,,,,,
17477,Arch 635,15 - 16 Lendal Terrace; Clapham Common; London SW4 7UX; United Kingdom,https://ra.co/clubs/14794,,,,,,,,,,,
17478,The Arch Gallery,"289 Cambridge Heath Road, Railway Arches - Tower Hamlets  E2 9HA London",https://ra.co/clubs/90592,,,,,,,,,,,
17479,Arch One,1 Mepham Street; Waterloo; London SE1 8RL; United Kingdom,https://ra.co/clubs/17897,,,,,,,,,,,
17480,Archangel,11 -13 Kensington High St; Kensington; London W8 5NP; United Kingdom,https://ra.co/clubs/12960,,,,,,,,,,,
17481,Archer Street Soho,"3-4 Archer Street, London W1D 7AP, United Kingdom",https://ra.co/clubs/156259,,,,,,,,,,,
17482,Arches,61 St Thomas Street; London Bridge; London SE1 3QX; United Kingdom,https://ra.co/clubs/24458,,,,,,,,,,,
17483,Archspace,TripSpace Projects Arches 339-340 Acton Mews London E8 4EA,https://ra.co/clubs/128642,,,,,,,,,,,
17484,The Archway Tavern,"7 Archway Road, London, N19 3TX",https://ra.co/clubs/80396,,,,,,,,,,,
17485,Arcola Bar,"24 Ashwin St, London E8 3DL",https://ra.co/clubs/127656,,,,,,,,,,,
17486,Arcola Theatre,"24 Ashwin St, London E8 3DL",https://ra.co/clubs/106028,,,,,,,,,,,
17487,Area,67 Albert Embankment; Vauxhall; London SE1 7TP; United Kingdom,https://ra.co/clubs/9567,,,,,,,,,,,
17488,Area,77 High Street; Watford; London WD17 1LN; United Kingdom,https://ra.co/clubs/4712,,,,,,,,,,,
17489,Area 12,Greenwich Peninsula; London SE10 0BE; United Kingdom,https://ra.co/clubs/63465,,,,,,,,,,,
17490,Arens Bar,"Joel Street, Pinner, HA5 2PR",https://ra.co/clubs/88496,,,,,,,,,,,
17491,Arista Club,"232 Church Lane, NW9 8SN, Kingsbury",https://ra.co/clubs/96825,,,,,,,,,,,
17492,Arsenal Tavern,"175 Blackstock Road, London, N4 2JS, United Kingdom",https://ra.co/clubs/182967,,,,,,,,,,,
17493,Art Bar,87-89 Walton Street; Chelsea; London SW3 2HP; United Kingdom,https://ra.co/clubs/9689,,,,,,,,,,,
17494,Art House Studio,1 Maverton Road; London E32JE; United Kingdom,https://ra.co/clubs/77072,,,,,,,,,,,
17495,The Artesian Well,693 Wandsworth Road; Clapham; London SW8 3JF; United Kingdom,https://ra.co/clubs/3138,,,,,,,,,,,
17496,Artfix Space,"27 Peter Street, Soho, W1F 0AJ",https://ra.co/clubs/103053,,,,,,,,,,,
17497,Artis Blackheath,"No1, Lawn Terrace, Blackheath, London SE3 9LJ, United Kingdom",https://ra.co/clubs/180716,,,,,,,,,,,
17498,Arts Club East,"The Tea Building, 1st floor, 64 Shoreditch High St, London E1 6JJ, United Kingdom",https://ra.co/clubs/116480,,,,,,,,,,,
17499,The Artworks Creekside,"3 Creekside, Deptford, SE8 4SA",https://ra.co/clubs/137902,,,,,,,,,,,
17500,Ashanti Lounge Bar,"14 Lavender Hill, Clapham, London SW11 5RW, UK",https://ra.co/clubs/155426,,,,,,,,,,,
17501,The Assembly House,"292-294 Kentish Town Rd, London NW5 2TG",https://ra.co/clubs/88239,,,,,,,,,,,
17502,Astor,20 Glasshouse Street; Piccadilly Circus; London W1B 5DJ; United Kingdom,https://ra.co/clubs/3755,,,,,,,,,,,
17503,Astoria,157 Charing Cross Rd; Soho; London WC2H 0EW; United Kingdom,https://ra.co/clubs/1040,,,,,,,,,,,
17504,Asylum,Corner Rathbone Place/Charlotte Street; Fitzrovia; London W1T 1DJ,https://ra.co/clubs/3806,,,,,,,,,,,
17505,Atik Uxbridge,"233 High Street Uxbridge, Greater London UB8 1LD, United Kingdom",https://ra.co/clubs/164965,,,,,,,,,,,
17506,Atlantis Bar,"15 Atlantic Road, Brixton, London, SW9 8HX",https://ra.co/clubs/77744,,,,,,,,,,,
17507,Atrium,"North Yard, Stables Market, Camden Town, London, NW1 8AH, United Kingdom",https://ra.co/clubs/124243,,,,,,,,,,,
17508,The Attic Bar,"48th Floor, Pan Peninsula, Canary Wharf,  London E14 9HN",https://ra.co/clubs/98072,,,,,,,,,,,
17509,Attico Arts Center,"First Floor, 101 High Street, Watford, WD17 2DQ, United Kingdom",https://ra.co/clubs/121886,,,,,,,,,,,
17510,Aura,48-49 St James's Street; Mayfair; London SW1A 1JT; United Kingdom,https://ra.co/clubs/9906,,,,,,,,,,,
17511,The Aura UK,763-765 Harrow Rd  London  HA0 2LW,https://ra.co/clubs/200937,,,,,,,,,,,
17512,Aures London,"Unit 7, 18 Leake Street, London, SE1 7NN",https://ra.co/clubs/145914,,,,,,,,,,,
17513,Austrian Cultural Forum London,28 Rutland Gate London SW7 1PQ,https://ra.co/clubs/82677,,,,,,,,,,,
17514,Autumn Studios,"Autumn Yard, Autumn Street, E3 2TT",https://ra.co/clubs/165355,,,,,,,,,,,
17515,Avalon,141-143 Shoreditch High Street; Shoreditch; London EC1 6JE; United Kingdom,https://ra.co/clubs/25327,,,,,,,,,,,
17516,Avalon Cafe Bermondsey,"Unit D, Industrial Estate, Juno Way, London SE14 5RW, United Kingdom",https://ra.co/clubs/188711,,,,,,,,,,,
17517,Avalon Soho,"39-45 Shaftesbury Avenue, W1D 6LA London, United Kingdom",https://ra.co/clubs/72648,,,,,,,,,,,
17518,Aviary Bar,16 Little Portland Street W1W 8BP,https://ra.co/clubs/149614,,,,,,,,,,,
